round,train_loss,train_accuracy,test_loss,test_accuracy,precision,recall,f1_score
1,2.152181293010712,0.16492,2.302739586830139,0.1,0.009999999776482582,0.10000000149011612,0.01818181946873665
2,2.088786608695984,0.16264,2.301423077583313,0.1012,0.062196966260671616,0.10119999945163727,0.020565954968333244
3,2.0587981226444243,0.17204,2.2974992275238035,0.1,0.009999999776482582,0.10000000149011612,0.01818181946873665
4,2.0382202990055083,0.18314,2.255720715522766,0.1492,0.07997170090675354,0.14919999241828918,0.0837474837899208
5,1.9667130875587464,0.23302,2.10418338060379,0.2356,0.25109708309173584,0.23559999465942383,0.1883488893508911
6,1.8802667455673219,0.27348,2.037214745283127,0.2518,0.25645729899406433,0.251800000667572,0.20115235447883606
7,1.8552784388065338,0.28342,2.0181428360939027,0.2748,0.30315715074539185,0.27480000257492065,0.24166612327098846
8,1.8245673538446427,0.29286,1.978002564907074,0.2686,0.29029613733291626,0.2686000168323517,0.21983647346496582
9,1.8067112308740616,0.30632,1.9509393095970153,0.2943,0.3101775646209717,0.29430001974105835,0.26285338401794434
10,1.7730933170318603,0.31938,1.911606364250183,0.3041,0.3118673264980316,0.304099977016449,0.2701258659362793
11,1.7538315818309784,0.3319,1.8705045509338378,0.3405,0.330680251121521,0.34049999713897705,0.31253719329833984
12,1.7270545790195464,0.347,1.830042668581009,0.3509,0.34540921449661255,0.35089999437332153,0.3226567506790161
13,1.7020485950708388,0.35514,1.8137277948856354,0.3517,0.35053834319114685,0.3517000079154968,0.32071998715400696
14,1.6824839758872985,0.3637,1.755880616903305,0.3773,0.36559146642684937,0.3772999942302704,0.3520914912223816
15,1.6642477744817734,0.37002,1.7269551956653595,0.381,0.36352697014808655,0.38099998235702515,0.3467124104499817
16,1.6431755341291427,0.3811,1.6936317574977875,0.3959,0.38586822152137756,0.39590001106262207,0.36771637201309204
17,1.6179869209527968,0.38938,1.682013245820999,0.3933,0.38866978883743286,0.39329999685287476,0.37049055099487305
18,1.5938279112577438,0.39822,1.6407374608516694,0.4131,0.40841206908226013,0.413100004196167,0.3905206322669983
19,1.586486174941063,0.40122,1.6212725281715392,0.4147,0.40742579102516174,0.4147000014781952,0.3925284743309021
20,1.560171649813652,0.41108,1.6227511203289031,0.4204,0.4219176769256592,0.4204000234603882,0.40508800745010376
21,1.546757822036743,0.41552,1.5784986531734466,0.425,0.4193596839904785,0.42500001192092896,0.4069346785545349
22,1.5248736729621888,0.42204,1.5623809695243835,0.4375,0.4320111870765686,0.4375,0.4219185709953308
23,1.5139643621444703,0.42624,1.5510208249092101,0.4441,0.439586341381073,0.444100022315979,0.42802301049232483
24,1.5001749824285506,0.43404,1.5268368005752564,0.4439,0.4368327260017395,0.4438999891281128,0.42842262983322144
25,1.4942288825511931,0.43564,1.5357877254486083,0.4452,0.43593472242355347,0.44520002603530884,0.42618560791015625
26,1.4771227886676788,0.44202,1.5014853549003602,0.4548,0.4449770450592041,0.45479997992515564,0.43840551376342773
27,1.4596794275045395,0.44752,1.4912835717201234,0.4585,0.44891437888145447,0.4584999978542328,0.4423214793205261
28,1.4536164177656175,0.452,1.4850965321063996,0.4617,0.4578284025192261,0.4617000222206116,0.4461095929145813
29,1.434260192513466,0.4586,1.4578738749027251,0.4678,0.458512544631958,0.46779999136924744,0.4522642493247986
30,1.4330179623365402,0.46036,1.4592183482646943,0.4716,0.46313199400901794,0.4715999960899353,0.4540606737136841
31,1.4194356579780578,0.46328,1.4411215615272521,0.4741,0.47037768363952637,0.4740999937057495,0.4619990289211273
32,1.4118605135679245,0.46662,1.4473711991310119,0.4765,0.46698370575904846,0.4764999747276306,0.46057644486427307
33,1.404101905822754,0.4685,1.4380237185955047,0.4774,0.472872793674469,0.477400004863739,0.46390053629875183
34,1.394092661857605,0.47248,1.4166268658638002,0.4859,0.48509395122528076,0.48589998483657837,0.47754329442977905
35,1.3828055036067963,0.47868,1.4113288700580597,0.4927,0.48778387904167175,0.4927000403404236,0.4819863438606262
36,1.384070717215538,0.48232,1.4133037889003754,0.4916,0.4901444911956787,0.49160000681877136,0.47891533374786377
