round,train_loss,train_accuracy,test_loss,test_accuracy,precision,recall,f1_score
1,1.8722214826345445,0.2736,2.303419463634491,0.0989,0.02965199574828148,0.09890000522136688,0.02499128133058548
2,1.7682132878303527,0.2764,2.3018664622306826,0.1077,0.05194837227463722,0.10770000517368317,0.05149185284972191
3,1.7143506338596344,0.27824,2.2980357074737547,0.1531,0.05034741759300232,0.15310001373291016,0.06989449262619019
4,1.7082443180084228,0.28806,2.2680241656303406,0.1597,0.06398792564868927,0.15970000624656677,0.06153767183423042
5,1.6398016710281371,0.3237,2.1526283645629882,0.1953,0.23829048871994019,0.19529999792575836,0.11977927386760712
6,1.5713042328953744,0.3706,2.0703905355930328,0.2367,0.2363160103559494,0.23669999837875366,0.18190479278564453
7,1.530325125336647,0.38834,2.031620157957077,0.2416,0.23700051009655,0.24159999191761017,0.1874590963125229
8,1.5088095033168794,0.39656,2.011554678678513,0.2475,0.28586071729660034,0.2475000023841858,0.19273951649665833
9,1.497489511489868,0.39714,1.9866490626335145,0.2566,0.2539665997028351,0.256600022315979,0.20588359236717224
10,1.474381328880787,0.40914,1.964855558872223,0.2511,0.2398996651172638,0.25110000371932983,0.19585922360420227
11,1.4579742147326469,0.41768,1.9379016733169556,0.2644,0.24278172850608826,0.2643999755382538,0.2083994448184967
12,1.4653425583839417,0.40174,1.9321413481235503,0.2705,0.23947006464004517,0.2705000042915344,0.21583446860313416
13,1.4162051895856858,0.42656,1.8951981747150421,0.2856,0.26739341020584106,0.2856000065803528,0.23945149779319763
14,1.406883285701275,0.42984,1.8728579664230347,0.2791,0.2657395899295807,0.2791000008583069,0.21405383944511414
15,1.3920497163534165,0.4413,1.8554537510871887,0.2852,0.27736878395080566,0.28519999980926514,0.22854207456111908
16,1.375441555917263,0.44732,1.8454472351074218,0.2959,0.30246496200561523,0.29589998722076416,0.24714945256710052
17,1.3728782039880754,0.44656,1.845656135082245,0.3115,0.31420910358428955,0.31150001287460327,0.28281593322753906
18,1.3504083780646323,0.45698,1.794551124572754,0.326,0.32691067457199097,0.32600000500679016,0.2941280007362366
19,1.3334459887742995,0.46576,1.7664110338687897,0.3405,0.3340616524219513,0.34049999713897705,0.31306692957878113
20,1.3193132602572442,0.47252,1.728952728509903,0.3502,0.3588219881057739,0.35019999742507935,0.33281320333480835
21,1.3121531715393067,0.47932,1.7141203594207763,0.3662,0.3759085536003113,0.3662000000476837,0.34921225905418396
22,1.2927348107397556,0.48146,1.671457315683365,0.3888,0.38929682970046997,0.3887999653816223,0.3750344216823578
23,1.2811403787732125,0.48992,1.6441768896579743,0.3972,0.3923899233341217,0.39719998836517334,0.3811352849006653
24,1.261344624876976,0.49794,1.6318582022190093,0.3965,0.4021918773651123,0.39649999141693115,0.38046693801879883
25,1.250484609693289,0.50324,1.6219864439964295,0.4023,0.4022873044013977,0.40230000019073486,0.38748568296432495
26,1.2446470246315002,0.50496,1.595792405605316,0.412,0.4095129668712616,0.41200000047683716,0.39597341418266296
27,1.2354952813982965,0.5096,1.6035609066486358,0.4118,0.4191918969154358,0.41179999709129333,0.40423282980918884
28,1.2258868778049945,0.50966,1.5552352023124696,0.4261,0.4147922396659851,0.4260999858379364,0.4087417721748352
