round,train_loss,train_accuracy,test_loss,test_accuracy,precision,recall,f1_score
1,1.0822108171880245,0.70372,2.310423538684845,0.1,0.009999999776482582,0.10000000149011612,0.01818181946873665
2,0.8445232588648796,0.69884,2.33415522813797,0.1,0.009999999776482582,0.10000000149011612,0.01818181946873665
3,0.8000047004967928,0.69736,2.35340868473053,0.1,0.009999999776482582,0.10000000149011612,0.01818181946873665
4,0.7763734992742538,0.70284,2.369313671588898,0.1,0.010001000016927719,0.10000000149011612,0.018183471634984016
5,0.758493849337101,0.69956,2.3551498246192932,0.1003,0.022322790697216988,0.10029999911785126,0.01970079354941845
6,0.7455778396427631,0.70894,2.3450800800323486,0.1017,0.025872739031910896,0.10170000046491623,0.02247418835759163
7,0.7246833692789078,0.72282,2.3100294947624205,0.1675,0.037631742656230927,0.16749998927116394,0.06015569344162941
8,0.6936895434260368,0.73908,2.257288556098938,0.1687,0.03674862161278725,0.16870000958442688,0.05946331098675728
9,0.6642283409535885,0.75324,2.1941033840179442,0.1736,0.05228661000728607,0.1736000031232834,0.06666680425405502
10,0.6383001994043589,0.76312,2.145427565574646,0.1869,0.14279639720916748,0.18689998984336853,0.09515742212533951
11,0.6213294840157032,0.76726,2.0957808148860932,0.1881,0.14453919231891632,0.18810001015663147,0.09794418513774872
12,0.6051083538010716,0.77444,2.060228933095932,0.2108,0.14321909844875336,0.21079999208450317,0.13468703627586365
13,0.6037171007543802,0.7787,2.04180672287941,0.2152,0.14350730180740356,0.2152000069618225,0.14115357398986816
14,0.5893924360573292,0.78246,2.0236596703529357,0.2212,0.15134094655513763,0.22119998931884766,0.15040910243988037
15,0.5802745077610015,0.78596,1.9924311745166778,0.2369,0.15637001395225525,0.23690001666545868,0.17229369282722473
16,0.5601685968935489,0.7948,1.9762190461158753,0.2348,0.15685194730758667,0.23480001091957092,0.16701535880565643
17,0.5519911468327046,0.7958,1.9623374950885772,0.2431,0.1727224588394165,0.24309998750686646,0.17611122131347656
18,0.5611737205684185,0.79548,1.9554223477840424,0.2548,0.2723456621170044,0.2547999918460846,0.18349501490592957
19,0.5558814186155796,0.79736,1.942132805585861,0.2436,0.20650030672550201,0.2436000108718872,0.17409268021583557
20,0.5448917101472616,0.8006,1.922753120660782,0.2596,0.20640483498573303,0.2595999836921692,0.19019578397274017
21,0.5418879636824131,0.8002,1.9108638787269592,0.2549,0.24997444450855255,0.2548999786376953,0.18463534116744995
22,0.5398513341844082,0.80156,1.895953961610794,0.2718,0.24940308928489685,0.2717999815940857,0.21587830781936646
23,0.5325911596417428,0.80354,1.9008473587036132,0.2649,0.2648714780807495,0.26489999890327454,0.20322276651859283
24,0.5318914702534676,0.80494,1.8982730317115784,0.2703,0.26663345098495483,0.2702999711036682,0.21405556797981262
25,0.5348773182630538,0.80474,1.8972212743759156,0.2734,0.24950435757637024,0.2734000086784363,0.21831339597702026
26,0.5203739766776562,0.80832,1.8754217255115508,0.2853,0.2682667374610901,0.28530001640319824,0.23290137946605682
27,0.5259396623373032,0.8063,1.8755938184261323,0.2799,0.2601889371871948,0.2799000144004822,0.2266666740179062
28,0.5168883409500122,0.81024,1.8631453001499176,0.2834,0.2639707326889038,0.2833999991416931,0.22752462327480316
29,0.511254547894001,0.81126,1.8668608736991883,0.2855,0.260844349861145,0.28550001978874207,0.24014019966125488
30,0.5123826122432947,0.81114,1.8540138900279999,0.2937,0.2793070375919342,0.2937000095844269,0.24680715799331665
31,0.5086989821195602,0.81252,1.8466491067409516,0.3022,0.2784819006919861,0.30219998955726624,0.2534942626953125
32,0.5111908116340638,0.81248,1.8493420171737671,0.2953,0.2689552307128906,0.2953000068664551,0.24867498874664307
33,0.5040345833450556,0.81364,1.8416772127151488,0.2984,0.3848727345466614,0.29840001463890076,0.2533801198005676
34,0.5059136512875557,0.8141,1.8337299346923828,0.3034,0.26988789439201355,0.3034000098705292,0.25625085830688477
35,0.5048038012683391,0.81442,1.828626446723938,0.3025,0.2675209045410156,0.3024999797344208,0.25921833515167236
36,0.5023295328319073,0.81514,1.821118538379669,0.3047,0.2652568817138672,0.30469995737075806,0.2612195312976837
37,0.49114104570448397,0.81872,1.8091477429866791,0.3111,0.34619417786598206,0.3111000061035156,0.26946505904197693
38,0.49554280591756106,0.81958,1.804022523164749,0.3137,0.32433873414993286,0.31370002031326294,0.27256539463996887
39,0.5026604545861483,0.81606,1.8075112855434419,0.3153,0.3588256239891052,0.31529998779296875,0.2744537889957428
40,0.4851847730875015,0.82166,1.8013836681842803,0.3199,0.35288792848587036,0.3199000060558319,0.2792249917984009
41,0.48495430762320757,0.8221,1.7911341857910157,0.3289,0.3137722313404083,0.32889997959136963,0.2884449362754822
42,0.4773570366501808,0.82424,1.7817794263362885,0.3282,0.34397152066230774,0.32820001244544983,0.2890477776527405
43,0.485599756911397,0.8225,1.7920143568515778,0.3234,0.351139634847641,0.32339999079704285,0.2848833203315735
44,0.4741991575211287,0.82532,1.7683222639560698,0.3391,0.3349577486515045,0.3391000032424927,0.3014805316925049
45,0.47135903795063494,0.8273,1.7647389233112336,0.3371,0.362313836812973,0.33709999918937683,0.29901719093322754
46,0.4739709994345903,0.82642,1.750476497411728,0.3449,0.3633311688899994,0.3449000120162964,0.30597200989723206
47,0.47048141691088674,0.82726,1.7466844832897186,0.3482,0.34268611669540405,0.3481999933719635,0.3089912533760071
48,0.46844032625108956,0.82794,1.7415507638454437,0.3464,0.37688708305358887,0.3463999629020691,0.305766224861145
49,0.4690943845510483,0.83014,1.7443946814537048,0.3425,0.3213798999786377,0.3425000011920929,0.30376136302948
50,0.4742221366465092,0.82862,1.735193074941635,0.3499,0.35620754957199097,0.3499000072479248,0.3121112585067749
51,0.47033098953962327,0.82894,1.7280462610721588,0.3563,0.36905473470687866,0.3562999963760376,0.31818947196006775
52,0.46212933617830276,0.83038,1.7175138592720032,0.3467,0.3591664433479309,0.3467000126838684,0.3105154037475586
53,0.4579978025406599,0.83122,1.7092583632469178,0.355,0.3723747730255127,0.35500001907348633,0.31455641984939575
54,0.46198690571635964,0.83118,1.7134534049034118,0.3536,0.36187806725502014,0.35359999537467957,0.317710280418396
55,0.4511354118734598,0.83514,1.7015468156337739,0.3577,0.36948519945144653,0.357699990272522,0.31895890831947327
56,0.45400378910452127,0.83268,1.716208015680313,0.3476,0.36032718420028687,0.3476000130176544,0.31186047196388245
57,0.4576242329701781,0.83212,1.696066073179245,0.3581,0.36580365896224976,0.3580999970436096,0.3229406476020813
58,0.4520717186331749,0.834,1.688170657157898,0.3693,0.38928601145744324,0.3693000078201294,0.3311851918697357
59,0.4551908395141363,0.83276,1.6888676416873931,0.3601,0.38219723105430603,0.36010000109672546,0.32323381304740906
60,0.4504994577839971,0.83382,1.6857220792770387,0.3598,0.3653438687324524,0.35979998111724854,0.3236495554447174
61,0.44759704734385014,0.83538,1.6738185203075409,0.3694,0.3699788749217987,0.3693999946117401,0.3345523774623871
62,0.4470952624902129,0.83494,1.6672324001789094,0.3651,0.3800256848335266,0.3650999963283539,0.32852649688720703
63,0.44013231664150954,0.83842,1.6642108106613158,0.3689,0.3683439791202545,0.36890000104904175,0.3351890444755554
64,0.444717828348279,0.83762,1.653495454788208,0.3746,0.36796778440475464,0.37459999322891235,0.34062695503234863
65,0.44196473197638986,0.83798,1.6491844487190246,0.378,0.3673769235610962,0.37800002098083496,0.3400498628616333
