round,train_loss,train_accuracy,test_loss,test_accuracy,precision,recall,f1_score,confusion_matrix
1,1.651561669588089,0.34788,2.1289883279800415,0.2374,0.2658179700374603,0.23740001022815704,0.17924714088439941,"[[300, 4, 4, 18, 26, 3, 66, 13, 513, 53], [85, 13, 15, 66, 58, 3, 170, 10, 464, 116], [138, 3, 33, 36, 119, 5, 459, 31, 122, 54], [72, 0, 30, 105, 82, 16, 455, 61, 121, 58], [48, 0, 16, 31, 106, 2, 642, 24, 78, 53], [76, 1, 36, 104, 95, 36, 361, 39, 202, 50], [32, 1, 7, 29, 57, 1, 787, 30, 20, 36], [58, 5, 30, 39, 127, 10, 339, 86, 160, 146], [112, 2, 5, 40, 25, 6, 42, 9, 687, 72], [44, 4, 16, 26, 44, 0, 161, 28, 456, 221]]"
2,1.5271161987781525,0.40132,2.0173572587966917,0.2634,0.30834296345710754,0.26340001821517944,0.22003719210624695,"[[476, 7, 37, 4, 43, 9, 35, 10, 355, 24], [80, 37, 64, 14, 67, 26, 104, 11, 542, 55], [141, 13, 137, 3, 228, 24, 339, 15, 79, 21], [69, 3, 141, 24, 169, 83, 356, 34, 93, 28], [50, 3, 66, 6, 230, 15, 516, 19, 64, 31], [57, 2, 133, 10, 200, 134, 279, 16, 150, 19], [18, 1, 70, 2, 142, 17, 708, 10, 19, 13], [55, 2, 104, 1, 278, 37, 184, 116, 137, 86], [206, 7, 32, 8, 28, 29, 24, 9, 620, 37], [62, 9, 82, 6, 80, 5, 86, 26, 492, 152]]"
3,1.4658563274145127,0.42184,1.9205502724647523,0.3334,0.3383023738861084,0.33340001106262207,0.3044866919517517,"[[443, 37, 13, 4, 23, 27, 31, 61, 296, 65], [68, 207, 2, 12, 17, 22, 73, 35, 416, 148], [115, 53, 60, 8, 256, 64, 230, 114, 52, 48], [33, 31, 39, 47, 108, 139, 305, 156, 46, 96], [45, 22, 21, 16, 377, 34, 293, 102, 39, 51], [22, 16, 30, 28, 165, 259, 228, 139, 60, 53], [12, 20, 21, 9, 189, 27, 602, 71, 7, 42], [38, 27, 16, 8, 183, 73, 105, 366, 66, 118], [163, 36, 4, 12, 7, 38, 22, 20, 607, 91], [54, 57, 4, 12, 18, 10, 81, 55, 343, 366]]"
4,1.3947031973600388,0.45278,1.827783113718033,0.3613,0.36399567127227783,0.361299991607666,0.33695271611213684,"[[553, 57, 17, 4, 19, 22, 24, 59, 174, 71], [111, 319, 1, 8, 10, 4, 42, 32, 274, 199], [133, 61, 57, 19, 293, 57, 146, 156, 26, 52], [50, 38, 26, 83, 113, 137, 204, 205, 31, 113], [58, 30, 24, 27, 415, 30, 182, 156, 27, 51], [37, 18, 31, 37, 153, 279, 136, 206, 34, 69], [12, 26, 23, 12, 242, 27, 480, 113, 5, 60], [58, 35, 7, 17, 135, 56, 60, 472, 39, 121], [251, 65, 0, 10, 7, 27, 17, 22, 469, 132], [82, 89, 3, 11, 13, 4, 54, 42, 216, 486]]"
5,1.3494893411397935,0.47262,1.7521348810195922,0.3824,0.3832032084465027,0.3824000060558319,0.3620811104774475,"[[535, 59, 20, 3, 22, 20, 24, 67, 175, 75], [97, 372, 3, 9, 10, 4, 47, 38, 198, 222], [120, 36, 117, 20, 294, 46, 178, 131, 25, 33], [36, 29, 57, 73, 107, 137, 273, 189, 29, 70], [51, 16, 60, 19, 436, 27, 199, 134, 24, 34], [29, 13, 62, 48, 141, 281, 172, 183, 28, 43], [8, 17, 39, 9, 228, 27, 533, 89, 2, 48], [42, 24, 15, 24, 144, 61, 85, 507, 29, 69], [228, 71, 11, 10, 4, 22, 17, 24, 459, 154], [68, 93, 5, 12, 9, 2, 71, 56, 173, 511]]"
6,1.3313576744794846,0.48012,1.7043801355361938,0.396,0.4009000062942505,0.3960000276565552,0.37372565269470215,"[[385, 42, 36, 4, 19, 38, 32, 85, 278, 81], [39, 319, 5, 10, 5, 18, 55, 34, 251, 264], [77, 28, 115, 22, 259, 101, 193, 137, 36, 32], [15, 13, 50, 75, 86, 247, 268, 166, 21, 59], [33, 13, 42, 26, 396, 53, 234, 145, 36, 22], [14, 7, 43, 44, 107, 404, 173, 157, 27, 24], [3, 6, 30, 13, 162, 37, 623, 85, 3, 38], [21, 10, 11, 23, 116, 119, 85, 534, 26, 55], [111, 49, 13, 9, 5, 41, 19, 29, 585, 139], [36, 67, 6, 15, 6, 13, 81, 54, 198, 524]]"
7,1.2815700832009316,0.49872,1.6438516497612,0.4114,0.42179161310195923,0.4114000201225281,0.39025402069091797,"[[421, 37, 40, 5, 14, 35, 34, 54, 276, 84], [41, 316, 8, 8, 5, 14, 51, 24, 226, 307], [83, 27, 228, 16, 121, 96, 265, 92, 33, 39], [24, 16, 77, 72, 30, 231, 340, 113, 18, 79], [38, 9, 123, 17, 265, 45, 330, 111, 35, 27], [13, 7, 114, 38, 36, 406, 223, 107, 26, 30], [5, 9, 56, 13, 58, 29, 740, 41, 4, 45], [27, 8, 36, 25, 83, 120, 117, 495, 22, 67], [120, 46, 16, 7, 1, 33, 24, 20, 595, 138], [38, 65, 9, 13, 3, 12, 73, 30, 181, 576]]"
8,1.2621172021627427,0.507,1.616152970790863,0.4284,0.42810413241386414,0.4283999800682068,0.40735989809036255,"[[516, 63, 31, 4, 19, 9, 21, 51, 218, 68], [63, 544, 3, 2, 7, 2, 33, 23, 154, 169], [102, 38, 226, 13, 207, 46, 163, 142, 27, 36], [36, 33, 115, 64, 58, 145, 266, 177, 20, 86], [51, 21, 120, 16, 387, 18, 184, 143, 36, 24], [23, 14, 119, 35, 60, 285, 160, 246, 28, 30], [6, 21, 55, 4, 155, 17, 616, 69, 6, 51], [35, 24, 45, 12, 85, 55, 65, 588, 20, 71], [173, 85, 13, 4, 4, 16, 15, 18, 566, 106], [47, 177, 7, 3, 5, 3, 57, 35, 174, 492]]"
9,1.2509101363420487,0.51458,1.585061686038971,0.4321,0.4373146891593933,0.43209996819496155,0.41173192858695984,"[[488, 39, 50, 7, 26, 9, 21, 63, 238, 59], [62, 443, 11, 3, 10, 6, 39, 39, 201, 186], [88, 29, 198, 9, 256, 59, 157, 148, 31, 25], [30, 22, 104, 70, 76, 173, 250, 202, 16, 57], [43, 13, 87, 15, 447, 24, 175, 148, 31, 17], [16, 11, 95, 35, 90, 327, 141, 243, 25, 17], [4, 12, 39, 8, 183, 19, 620, 73, 7, 35], [27, 7, 35, 11, 97, 68, 57, 631, 19, 48], [156, 59, 22, 3, 4, 17, 17, 27, 610, 85], [48, 117, 8, 4, 9, 5, 66, 66, 190, 487]]"
10,1.2148057431280612,0.5274,1.5372566986083984,0.4524,0.4529099464416504,0.45239996910095215,0.44253069162368774,"[[487, 46, 59, 12, 28, 8, 18, 60, 218, 64], [47, 532, 13, 13, 10, 5, 36, 34, 131, 179], [77, 29, 270, 32, 252, 66, 113, 113, 24, 24], [30, 19, 130, 157, 84, 175, 181, 161, 14, 49], [39, 16, 126, 24, 459, 26, 129, 138, 27, 16], [15, 9, 122, 76, 85, 353, 101, 198, 25, 16], [4, 14, 60, 19, 217, 23, 565, 60, 5, 33], [25, 11, 51, 27, 93, 74, 46, 616, 15, 42], [144, 85, 24, 6, 7, 15, 15, 24, 584, 96], [44, 147, 15, 20, 7, 7, 62, 60, 137, 501]]"
