round,train_loss,train_accuracy,test_loss,test_accuracy,precision,recall,f1_score
1,2.2495072119149335,0.38988475177304965,1.4733950958607045,0.6463297872340426,0.6682533025741577,0.6463298201560974,0.6391437649726868
2,0.977493309736886,0.7010106382978724,0.8237867992609105,0.7525531914893617,0.7619927525520325,0.7525532245635986,0.748266339302063
3,0.6815253306418023,0.7815868794326241,0.6378965564864747,0.8020744680851064,0.8062395453453064,0.8020745515823364,0.7999550104141235
4,0.5632347870063275,0.8149645390070922,0.564129742536139,0.82,0.8256987929344177,0.8200000524520874,0.8177785873413086
5,0.4989456309494397,0.833395390070922,0.5195888712051067,0.831436170212766,0.8344854116439819,0.8314361572265625,0.8299453258514404
6,0.45601676159822346,0.8465070921985816,0.4842359166830144,0.8388297872340426,0.8447055220603943,0.8388298153877258,0.8364987373352051
7,0.4251032325379709,0.8557358156028368,0.4652594237568531,0.8456914893617021,0.8486424684524536,0.8456915020942688,0.8437322974205017
8,0.4009571727134076,0.8631648936170213,0.4446553566512909,0.8517553191489362,0.8550718426704407,0.8517553210258484,0.8499085307121277
9,0.3837955685424889,0.8676152482269504,0.437865803691935,0.851436170212766,0.8566811680793762,0.8514361381530762,0.8497705459594727
10,0.36835374242447794,0.8722872340425532,0.41705861330983485,0.8589893617021277,0.8597888946533203,0.8589893579483032,0.8580869436264038
11,0.35365527040714806,0.8766666666666667,0.40965731124928656,0.8585106382978723,0.8637356162071228,0.8585106134414673,0.8565171957015991
12,0.34129888949691195,0.8798847517730497,0.40036171524131553,0.8613297872340425,0.8638894557952881,0.8613297939300537,0.8601230382919312
13,0.3312034346150063,0.8837056737588652,0.39612476583173933,0.8638297872340426,0.8671067953109741,0.8638297915458679,0.8624756336212158
14,0.3213411851687,0.8860460992907802,0.3911950910820606,0.8647872340425532,0.8666853308677673,0.864787220954895,0.8635578751564026
15,0.31472496736120986,0.8879787234042553,0.38460170596520954,0.8670212765957447,0.8690163493156433,0.8670213222503662,0.8661725521087646
16,0.30541911740384414,0.890895390070922,0.38141028733646615,0.867872340425532,0.8695085644721985,0.8678723573684692,0.8667581677436829
17,0.29935295134353457,0.8924024822695036,0.37544163332340563,0.8693085106382978,0.8726524710655212,0.8693084716796875,0.8686743974685669
18,0.2932737307167275,0.894450354609929,0.37028027516096196,0.8694148936170213,0.872299075126648,0.8694149255752563,0.8683692812919617
19,0.2865307185785673,0.8966489361702128,0.36643606765156095,0.8720212765957447,0.8743959069252014,0.8720212578773499,0.8704033493995667
