round,train_loss,train_accuracy,test_loss,test_accuracy
1,2.150358316898346,0.1665,2.3690706062316895,0.1
2,2.0529717712402342,0.16888,2.288785309791565,0.1299
3,2.0196874184608458,0.21748,2.3382403767108917,0.2118
4,2.029518052816391,0.22642,2.244918456077576,0.1904
5,1.9110090138912201,0.25642,2.0905199122428892,0.203
6,1.844328795671463,0.2831,2.040793116092682,0.2508
7,1.7785071185827255,0.3125,1.9626614296436309,0.283
8,1.7388171840906144,0.3348,1.9139704155921935,0.2966
9,1.6993486424684525,0.3564,1.8716799092292786,0.309
10,1.6745027449131011,0.36474,2.112164397239685,0.2613
11,1.6706113177537918,0.3736,1.8300377464294433,0.2948
12,1.6241813365221023,0.38814,1.8767058944702149,0.3202
13,1.5848447000980377,0.40362,1.6749582505226135,0.3848
14,1.5398232585191727,0.418,1.6502545869350433,0.3938
15,1.5281670680046082,0.42718,1.6388421642780304,0.4006
16,1.4896045027971268,0.43764,1.6355843913555146,0.3953
17,1.4874799625873565,0.44422,1.7182301378250122,0.3777
18,1.4552309292554855,0.45556,1.5689535796642304,0.4164
19,1.4275411964654923,0.4614,1.6018045806884766,0.4124
20,1.409967678308487,0.47148,1.5362488925457,0.4349
21,1.38743503677845,0.48152,1.4705274021625518,0.4662
22,1.3641685395240783,0.49194,1.445769944190979,0.4735
23,1.351299334168434,0.49872,1.4436301290988922,0.4682
24,1.3387518476247788,0.50192,1.4165809881687164,0.4881
25,1.3185972853899002,0.5109,1.3792350363731385,0.4942
26,1.3058411722183227,0.51888,1.3461650228500366,0.5131
27,1.3084743893146515,0.51616,1.3240995585918427,0.5223
28,1.2685881849527358,0.5327,1.3519634842872619,0.5092
29,1.2688338603377343,0.531,1.292890158891678,0.5416
30,1.2494596469402313,0.53914,1.294643098115921,0.5354
31,1.2365688777565955,0.5455,1.268783929347992,0.5467
32,1.2151585206985474,0.55214,1.2519651985168456,0.5473
33,1.204421754539013,0.56122,1.2370990121364593,0.566
34,1.1974943220615386,0.56576,1.1905365872383118,0.5787
35,1.1824658896327018,0.56882,1.2323028445243835,0.5672
36,1.167090336740017,0.573,1.174143860936165,0.5839
37,1.153953290939331,0.57932,1.156614562869072,0.5973
38,1.145555219590664,0.57952,1.1395798635482788,0.606
39,1.1338803714513779,0.58662,1.145932313799858,0.6022
40,1.1258885635137559,0.591,1.1349287635087968,0.6089
41,1.1163832123875619,0.59616,1.1046689575910569,0.6139
42,1.1188451253771783,0.59522,1.1334226524829865,0.6095
43,1.0872909684181213,0.60734,1.1043408674001693,0.611
44,1.0809696602225303,0.60894,1.089828079342842,0.6232
45,1.0755257827043534,0.61198,1.089037464261055,0.6145
46,1.0629449231624604,0.61838,1.0827285438776015,0.6304
47,1.0441691251397134,0.6253,1.0352604597806931,0.6334
48,1.0374150646924973,0.62846,1.0471916836500168,0.6398
49,1.0227540106773376,0.63248,1.0744908988475799,0.6162
50,1.034656745672226,0.6297,1.017525428533554,0.6451
51,1.0184930545091628,0.63334,1.0327191174030304,0.6396
52,1.0066671099066735,0.6408,0.9817824178934097,0.6588
53,0.9980971855521202,0.64306,1.0122952991724015,0.6446
54,0.9927969735264778,0.64594,0.9603643375635147,0.6661
55,0.9859372408986091,0.64868,0.9860296404361725,0.6586
56,0.9790043545365333,0.65146,0.9415834695100784,0.6753
57,0.9693444992899894,0.65662,0.970652288198471,0.6632
58,0.9562701963782311,0.65796,0.9373628395795822,0.6787
59,0.9636237377524376,0.65678,0.9534436571598053,0.6718
60,0.9469057312607765,0.66266,0.9309154945611954,0.6782
61,0.9345731696486473,0.66588,0.9292033499479294,0.6778
62,0.9276192881464959,0.67304,0.9129612189531326,0.6878
63,0.9291413792967796,0.66994,0.928040167093277,0.6745
64,0.9153509383797646,0.67298,0.8833311128616333,0.6956
65,0.9044768777489662,0.67934,0.9195285975933075,0.6805
66,0.9106750723719597,0.67854,0.8813989162445068,0.7
67,0.8917279900014401,0.68402,0.8783236390352249,0.6949
68,0.8915711087286472,0.68406,0.8704522395133972,0.7015
69,0.8864157647490502,0.68888,0.8826822757720947,0.6918
