round,train_loss,train_accuracy,test_loss,test_accuracy
1,1.486795860209258,0.5832446808510638,2.885269883338441,0.46170212765957447
2,0.7511263857136566,0.7852216312056738,1.6498195241106317,0.6521808510638298
3,0.5171047401905112,0.8459751773049645,1.0219677771659608,0.7208510638297873
4,0.41645921739099007,0.8719503546099291,0.8094360192405416,0.7637765957446808
5,0.364477664997788,0.8869326241134752,0.6966012328546098,0.785372340425532
6,0.3310971151203485,0.8962854609929078,0.6258751663755864,0.8043085106382979
7,0.3004157150629908,0.9046099290780142,0.5749169283724845,0.8161170212765958
8,0.28611068217709645,0.9099379432624114,0.5465209361720592,0.8242553191489361
9,0.2681543309189518,0.91447695035461,0.5190474297455017,0.8306914893617021
10,0.2543980306362839,0.9178989361702128,0.4986910349352563,0.8378191489361703
11,0.24248363119071178,0.9217730496453901,0.48405030737531946,0.8388829787234042
12,0.23574407350755766,0.9236081560283688,0.47040053089248374,0.8431914893617021
13,0.22762508928872388,0.9245478723404256,0.456533944606781,0.846968085106383
14,0.21952525629242553,0.9284574468085106,0.44916166926318024,0.846436170212766
15,0.21359157799652295,0.9299556737588652,0.4378319183721187,0.8489361702127659
16,0.20669123880802126,0.9317553191489362,0.4334300197660923,0.851063829787234
17,0.20486129626734118,0.932686170212766,0.4259870867462868,0.8537234042553191
18,0.19899668193679032,0.9341578014184397,0.41732136903608097,0.856968085106383
19,0.19538430986329022,0.9348758865248227,0.4139303608777675,0.8556382978723405
20,0.1903506341309399,0.9369858156028369,0.40808669187604113,0.8577127659574468
21,0.18501927814335342,0.9382890070921985,0.40411303855003194,0.8599468085106383
22,0.18196749020630415,0.9385372340425532,0.40095153252812143,0.8598936170212766
23,0.17822961532038137,0.9398758865248227,0.39756906230715994,0.8597340425531915
24,0.17582795227585107,0.9404875886524823,0.39115211885977297,0.8612765957446809
25,0.17220460247328498,0.9420124113475177,0.39079391631357213,0.8618617021276596
26,0.1713221271979748,0.9415691489361702,0.38744558335301726,0.8636170212765958
27,0.16705134652353945,0.9438741134751774,0.3841130367935972,0.8649468085106383
28,0.1657262748132496,0.943732269503546,0.38451509036599324,0.8622340425531915
29,0.16294517979855197,0.9451950354609929,0.381275901880036,0.8647872340425532
30,0.16175596032889003,0.9444769503546099,0.37589599017767195,0.8673404255319149
31,0.1568874976727352,0.9465957446808511,0.37413071997939273,0.8680851063829788
32,0.15749260188794137,0.9456205673758865,0.3746130836850151,0.8673404255319149
33,0.15359991578542517,0.9474468085106383,0.37070653972790596,0.8682446808510639
34,0.1535886516957007,0.9471276595744681,0.3693280300085849,0.869468085106383
35,0.15108449971208396,0.9479787234042554,0.3670374503319568,0.8709574468085106
36,0.15071200327855883,0.9483510638297873,0.36447839957285433,0.8700531914893617
37,0.14708527533179777,0.9499468085106383,0.3650378460104161,0.87
38,0.14409533916850384,0.9509485815602837,0.36398589339979154,0.8712234042553192
39,0.14330805592376786,0.9501950354609929,0.36016288978305266,0.872872340425532
40,0.143505043893669,0.9502748226950355,0.3593266468415869,0.8739893617021277
41,0.1424698343386763,0.9504609929078014,0.3606323375980905,0.8728191489361702
42,0.1396383580149309,0.9517198581560283,0.36022762742606884,0.872872340425532
43,0.1368771017925378,0.9522251773049646,0.3593842700757879,0.8734042553191489
44,0.13627299386293773,0.9516932624113476,0.35490472033778403,0.8757978723404255
45,0.13416919612824416,0.9533599290780141,0.35292749062497564,0.8753191489361702
46,0.13290554632228208,0.9540336879432624,0.355979831160066,0.8746808510638298
47,0.13276963606345712,0.9535904255319149,0.35574402990651893,0.8750531914893617
48,0.1317095709454026,0.9537677304964539,0.35274539780902103,0.8762234042553192
49,0.1307698559353573,0.9538297872340425,0.35213070193979334,0.8766489361702128
50,0.12693276472573609,0.9547695035460992,0.3517744456913243,0.8765425531914893
51,0.12669674845966378,0.9555673758865249,0.34989308980392647,0.8771808510638298
52,0.12571297364330278,0.9561347517730496,0.3495588399707637,0.8772872340425532
53,0.1251778184801711,0.9562854609929078,0.3495523861827368,0.8779787234042553
54,0.12415265041790079,0.95572695035461,0.35104741475525053,0.8768617021276596
55,0.12359769987139532,0.9565336879432624,0.3505435712952563,0.8771808510638298
56,0.12163710579645971,0.9566755319148936,0.3484174527148617,0.8763829787234042
57,0.11966008380234384,0.9572163120567376,0.3472845635357055,0.8763829787234042
58,0.11865217458189041,0.9576507092198582,0.3475144706428685,0.8772340425531915
59,0.11795137283369649,0.9577570921985815,0.34572339758593984,0.8777659574468085
60,0.11680896694186567,0.9583333333333334,0.3492149147898593,0.8765957446808511
61,0.11670975998165384,0.9582801418439716,0.3479055201753657,0.8772872340425532
62,0.11461864595066348,0.9586081560283688,0.3470337267093202,0.8766489361702128
63,0.11404336272548048,0.9595744680851064,0.3493299264777848,0.876436170212766
64,0.11383053449427144,0.9585372340425532,0.3472738207971796,0.8768617021276596
65,0.11305608999096901,0.9591312056737589,0.3467105735489663,0.8779255319148936
66,0.11180127834054829,0.9593617021276596,0.34797813912179876,0.8772340425531915
67,0.11101928720788062,0.9598049645390071,0.34442139967800456,0.8787765957446808
68,0.1094949126975625,0.9605851063829787,0.344515091743558,0.8795212765957446
69,0.10936892211207284,0.9605939716312056,0.34378245141594965,0.8782446808510638
70,0.10757031456156539,0.9612854609929078,0.34612247217050257,0.8783510638297872
71,0.10717718510753112,0.9612588652482269,0.34553426000032017,0.8778723404255319
72,0.10643899585474373,0.9608156028368794,0.3448302529355947,0.8785106382978723
73,0.10438930089437384,0.9623581560283688,0.34661578222158107,0.8773936170212766
74,0.10425159078759016,0.9624379432624114,0.3472764069491878,0.8770744680851064
75,0.10410323700825176,0.9616400709219858,0.34492670507665646,0.8779255319148936
76,0.10285155429108607,0.9621985815602837,0.34598224067941624,0.8779787234042553
77,0.10286838957408884,0.9620301418439716,0.3450061744990501,0.8779255319148936
78,0.10375704807529151,0.9619858156028369,0.34334672573716085,0.8791489361702127
79,0.1002229878863655,0.9634840425531915,0.34459734563022215,0.8797872340425532
80,0.10072975738091908,0.9631648936170213,0.3435372565654998,0.8798936170212766
81,0.0998330670070908,0.9636436170212765,0.3436158857447036,0.878563829787234
82,0.09923952807946744,0.9635549645390071,0.34365967060340213,0.8781382978723404
83,0.09775476398392632,0.964113475177305,0.3445973940827745,0.8787234042553191
84,0.09743102408710459,0.9642553191489361,0.34476798394734554,0.8789893617021277
85,0.09664894605660955,0.9644060283687943,0.3433331938658623,0.8798404255319149
86,0.09636527488785482,0.9642109929078014,0.34279879293543225,0.8798404255319149
87,0.09696420718520382,0.9646985815602837,0.34252759615316036,0.8804255319148936
88,0.09344492033521826,0.9652127659574468,0.34574222184242087,0.8792021276595745
89,0.09361807258937657,0.9653900709219858,0.343818130692903,0.8802127659574468
90,0.0932766907406055,0.9652039007092199,0.3441727250893699,0.88
91,0.09173190873454767,0.9660992907801419,0.34405717373369854,0.881436170212766
92,0.092679106177165,0.965168439716312,0.3460559107363224,0.8805851063829787
93,0.09138692805556649,0.9656560283687943,0.3452916787897653,0.8804787234042554
94,0.09025459821100251,0.966781914893617,0.34560674635019706,0.8802127659574468
95,0.0911118140539521,0.9660017730496454,0.3465884442025043,0.8789361702127659
96,0.08942577471235827,0.9668794326241135,0.3466198599481202,0.8792553191489362
97,0.08904965454590728,0.9663386524822695,0.346490095856976,0.8802659574468085
98,0.08796938170416463,0.9671365248226951,0.3456911608101206,0.8807446808510638
99,0.08844659872178041,0.9670744680851063,0.3463119613601172,0.8802127659574468
100,0.0872705284449939,0.9671542553191489,0.3445571105134614,0.8799468085106383
