round,train_loss,train_accuracy,test_loss,test_accuracy,precision,recall,f1_score
124,0.13592833545521738,0.9546897163120568,0.5175904232136747,0.8303191489361702,0.8344882726669312,0.8303191065788269,0.8271721601486206
125,0.1355725953049119,0.9547783687943262,0.5155882764052837,0.8324468085106383,0.8341532349586487,0.832446813583374,0.8303416967391968
126,0.13476238003548016,0.9545744680851064,0.5190231885681761,0.8301595744680851,0.8339228630065918,0.830159604549408,0.8267144560813904
127,0.13464987636118605,0.9546010638297873,0.5168932134166677,0.8303723404255319,0.8341996073722839,0.8303723335266113,0.8274760246276855
128,0.13396545363701995,0.9549379432624113,0.5211092194027089,0.8291489361702128,0.8324865698814392,0.8291488885879517,0.825918436050415
129,0.1331523417509743,0.9549468085106383,0.5192072175918742,0.8284574468085106,0.8335269689559937,0.8284574747085571,0.8253660798072815
130,0.13272063518523036,0.9550620567375887,0.5193731069881865,0.8292021276595745,0.8335870504379272,0.8292021155357361,0.8260749578475952
131,0.13234545414780632,0.9550620567375887,0.5164601105324765,0.8304787234042553,0.8340662717819214,0.8304786682128906,0.8277401328086853
132,0.13143912632745305,0.9564007092198582,0.5169779436385378,0.8302127659574469,0.833497941493988,0.8302127718925476,0.8278328776359558
133,0.130572988177383,0.9565336879432624,0.5126393446896939,0.8329787234042553,0.8345438241958618,0.8329787254333496,0.8313211798667908
134,0.13016095617905768,0.9568528368794327,0.5128456607778021,0.8321276595744681,0.8338730335235596,0.8321276903152466,0.8305355310440063
135,0.12956324476382947,0.956418439716312,0.5145487419151246,0.8321276595744681,0.8348420858383179,0.8321276307106018,0.8295484781265259
136,0.12837308188559773,0.956959219858156,0.5155048627168575,0.8333510638297872,0.834903359413147,0.8333510160446167,0.8312137126922607
137,0.1279566681543811,0.957508865248227,0.5163352185107292,0.8302659574468085,0.8331542611122131,0.8302659392356873,0.8276742696762085
138,0.12788795516469123,0.9575265957446808,0.5148195072691492,0.8313297872340426,0.8338148593902588,0.8313297629356384,0.8289228677749634
139,0.1271260853946384,0.9575886524822695,0.5171847400513101,0.831968085106383,0.835237979888916,0.8319681286811829,0.8294089436531067
140,0.1265778345312033,0.9572783687943263,0.5167823928467771,0.8321808510638298,0.8347805738449097,0.8321808576583862,0.82963627576828
141,0.12581333025273575,0.958040780141844,0.51520718126855,0.8326595744680851,0.8344272375106812,0.8326596021652222,0.8306677341461182
142,0.1252382171592107,0.958200354609929,0.5127371042332751,0.8329787234042553,0.8340474963188171,0.8329786658287048,0.8315203189849854
143,0.1238637606757825,0.9590070921985816,0.5144795494827819,0.8320744680851064,0.8343658447265625,0.8320745229721069,0.8298865556716919
144,0.12385321765211708,0.9587765957446809,0.5126867043845197,0.833031914893617,0.8357267379760742,0.8330318927764893,0.8317660689353943
145,0.12398738976140096,0.9581205673758866,0.5138121451786224,0.8331914893617022,0.8339267373085022,0.8331915140151978,0.8315452337265015
146,0.12298666408910096,0.9585372340425532,0.5144213599727508,0.8340425531914893,0.8355073928833008,0.8340425491333008,0.8319699168205261
147,0.12344216366318313,0.9588120567375886,0.515531396295162,0.8319148936170213,0.8342417478561401,0.8319149017333984,0.8301076889038086
148,0.12248681526610888,0.9590159574468086,0.5138814964510025,0.8329787234042553,0.8344206809997559,0.8329787254333496,0.8312534093856812
149,0.12092844605186198,0.9595390070921986,0.5150078665068809,0.8329255319148936,0.8346233367919922,0.83292555809021,0.8314589262008667
150,0.12077604415738774,0.9596631205673759,0.514065607748133,0.8324468085106383,0.8342580199241638,0.832446813583374,0.8311629295349121
151,0.12049432483593378,0.9595656028368794,0.5161001285974015,0.8330851063829787,0.8349657654762268,0.8330851197242737,0.8310967683792114
152,0.11973595966420678,0.9602216312056737,0.5145815377856823,0.8326063829787234,0.8350969552993774,0.8326064348220825,0.8310319781303406
153,0.1194162098405815,0.959627659574468,0.5167024232288624,0.8317021276595745,0.8345747590065002,0.8317021131515503,0.8295185565948486
154,0.11870499832600236,0.9605673758865249,0.5162568319034069,0.8325,0.8352944254875183,0.8324999809265137,0.8306036591529846
155,0.11872768702469716,0.9602925531914893,0.5174480340582259,0.8327127659574468,0.8359794616699219,0.8327128291130066,0.8300601243972778
156,0.11802749644237544,0.9607890070921986,0.5186056214127135,0.8319148936170213,0.8354268074035645,0.8319149017333984,0.8295503258705139
157,0.11826876184093132,0.9602304964539007,0.5157897369341647,0.833031914893617,0.8353620171546936,0.8330318927764893,0.8311598300933838
158,0.11759558170819193,0.9606648936170212,0.518147144704423,0.8326595744680851,0.8345251679420471,0.8326595425605774,0.8305589556694031
159,0.11686582731687611,0.9609751773049645,0.5168511463289566,0.8329787234042553,0.8361760377883911,0.8329787254333496,0.8308383822441101
160,0.11590849149762487,0.9614095744680851,0.5181784919918851,0.8320744680851064,0.8360321521759033,0.8320745229721069,0.8291095495223999
161,0.11639623929472337,0.9612234042553192,0.5167537119160307,0.8328191489361703,0.8361161351203918,0.8328191041946411,0.8305212259292603
162,0.11535316621492524,0.9615602836879432,0.5159819858505371,0.8334574468085106,0.8351253271102905,0.8334574699401855,0.8316735029220581
163,0.11545428814273988,0.9611436170212766,0.5172665402927297,0.8312765957446808,0.8330385684967041,0.8312765955924988,0.8292545080184937
164,0.11460013999558279,0.9621010638297872,0.5183279899523613,0.8321808510638298,0.8351750373840332,0.8321807980537415,0.8295415639877319
165,0.11411465058073894,0.9618085106382979,0.5159994698268302,0.833404255319149,0.835576057434082,0.8334042429924011,0.8316312432289124
166,0.11339092353515323,0.9625354609929078,0.5177861605869963,0.8331382978723404,0.8356645703315735,0.8331382274627686,0.8311426043510437
167,0.1135797409038142,0.9622074468085107,0.5157806683093944,0.8327659574468085,0.833811342716217,0.8327659368515015,0.8310061693191528
168,0.11314160650842063,0.9620301418439716,0.5186553847916583,0.8325531914893617,0.8351668119430542,0.8325532078742981,0.8303991556167603
169,0.11230796273161595,0.9625620567375887,0.5170010664361588,0.8328191489361703,0.8350335359573364,0.8328192234039307,0.8306868076324463
170,0.11152568651969687,0.9624290780141844,0.5173560331793542,0.8315425531914894,0.8334859609603882,0.8315424919128418,0.8291329145431519
171,0.11144083640692963,0.9623492907801419,0.5162410832783009,0.8324468085106383,0.8341097831726074,0.8324467539787292,0.8307584524154663
172,0.11093141587423441,0.9630939716312057,0.5188897175991789,0.8331382978723404,0.8353033065795898,0.8331383466720581,0.8307748436927795
